Numberrange,USN,Name,Branch
15,1BM20IS015,Sylvia Cotton,Information Science,1
8,1BM20IS008,Jeremy Reilly,Information Science,2
4,1BM20IS004,Acton Foster,Information Science,3
47,1BM20IS047,Melinda Atkins,Information Science,4
7,1BM20IS007,Ali Fischer,Information Science,5
59,1BM20IS059,Colt Walton,Information Science,6
10,1BM20IS010,Quynn Adams,Information Science,7
29,1BM20AI029,Jordan Schmidt,Artificial Intelligence,8
43,1BM20AI043,Rigel Kelley,Artificial Intelligence,9
39,1BM20IS039,Gray Fernandez,Information Science,10
18,1BM20AI018,Guy Alford,Artificial Intelligence,11
17,1BM20AI017,Fredericka Lott,Artificial Intelligence,12
23,1BM20AI023,Walter Leonard,Artificial Intelligence,13
77,1BM20AI077,Illiana Walter,Artificial Intelligence,14
11,1BM20AI011,Oren Frye,Artificial Intelligence,15
28,1BM20IS028,Pamela Butler,Information Science,16
25,1BM20IS025,Hunter Dixon,Information Science,17
12,1BM20IS012,Tamekah Ramsey,Information Science,18
51,1BM20IS051,Benedict Joyce,Information Science,19
23,1BM20IS023,Vincent Chang,Information Science,20
15,1BM20AI015,Xenos Morales,Artificial Intelligence,21
50,1BM20IS050,Vance Cameron,Information Science,22
61,1BM20AI061,Mariko Head,Artificial Intelligence,23
3,1BM20IS003,Emily Logan,Information Science,24
52,1BM20IS052,Jesse Lawrence,Information Science,25
38,1BM20AI038,Daniel Bauer,Artificial Intelligence,26
65,1BM20AI065,Malik Cherry,Artificial Intelligence,27
39,1BM20AI039,Colt Workman,Artificial Intelligence,28
57,1BM20IS057,Keegan Moran,Information Science,29
67,1BM20IS067,August Harper,Information Science,30
71,1BM20AI071,Derek Odom,Artificial Intelligence,31
14,1BM20AI014,Raja Benson,Artificial Intelligence,32
49,1BM20AI049,Martina Maddox,Artificial Intelligence,33
66,1BM20AI066,Emmanuel Stevenson,Artificial Intelligence,34
55,1BM20AI055,Xenos Craft,Artificial Intelligence,35
31,1BM20AI031,Keith Gallagher,Artificial Intelligence,36
13,1BM20IS013,Jolene Bush,Information Science,37
1,1BM20AI001,Shaeleigh Reed,Artificial Intelligence,38
6,1BM20IS006,Guinevere Blankenship,Information Science,39
8,1BM20AI008,Clark Griffin,Artificial Intelligence,40
